object_id	image name	Area	Mean	StdDev	Min	Max	Major	Minor	Angle	Feret	Slice	FeretX	FeretY	FeretAngle	MinFeret	Length (pixel)	Length (mm)
44_n3_gr_d2_1_1_426	44_n3_gr_d2_1_1_426.jpg	276	137.304	23.623	110	204	0	0	0	275.617	1	214	206	120.286	1.028	275.617	2.9215402
44_n3_gr_d2_1_1_494	44_n3_gr_d2_1_1_494.jpg	735	235.752	11.906	168	255	0	0	0	734.777	1	270	665	26.774	2.895	734.777	7.7886362
44_n3_gr_d2_1_1_5	44_n3_gr_d2_1_1_5.jpg	126	174.968	28.122	143	255	0	0	0	125.24	1	52	50	152.412	0.193	125.24	1.327544
44_n3_gr_d2_1_1_572	44_n3_gr_d2_1_1_572.jpg	267	114.734	34.88	77	217	0	0	0	266.03	1	185	188	90.862	0.643	266.03	2.819918
44_n3_gr_d2_1_1_583	44_n3_gr_d2_1_1_583.jpg	305	128.177	29.723	89	218	0	0	0	304.455	1	81	185	144.222	1.178	304.455	3.227223
44_n3_gr_d2_1_1_592	44_n3_gr_d2_1_1_592.jpg	893	201.414	15.538	152	255	0	0	0	884.48	1	171	398	21.489	45.798	892.12	9.456472
44_n3_gr_d2_1_1_667	44_n3_gr_d2_1_1_667.jpg	109	189.862	15.15	166	215	0	0	0	108.904	1	71	51	172.614	0.217	108.904	1.1543824
44_n3_gr_d2_1_1_67	44_n3_gr_d2_1_1_67.jpg	332	145.867	26.831	112	240	0	0	0	331.69	1	201	312	31.438	0.36	331.69	3.515914
44_n3_gr_d2_1_1_713	44_n3_gr_d2_1_1_713.jpg	1088	213.426	22.362	125	255	0	0	0	927.692	1	304	192	93.461	249.407	1087.623	11.5288038
44_n3_gr_d2_1_1_731	44_n3_gr_d2_1_1_731.jpg	207	154.541	38.539	105	255	0	0	0	206.197	1	57	296	64.429	0.255	206.197	2.1856882
44_n3_gr_d2_1_1_79	44_n3_gr_d2_1_1_79.jpg	258	121.783	27.573	92	235	0	0	0	257.154	1	119	129	164.667	0.748	257.154	2.7258324
